label,text
0,มันผิดที่ระบบกลับหัวกลับหางไปหมดเช่นการเรียนภาษาที่ถูกตามหลักการเรียนรู้ของสมองต้องเป็นดังนี้คือฟังก่อนแล้วพูด พูดไ… https://t.co/fVpSvyMNlq
1,โอ้ยขำจนปอดโยก 55555 #เรียนออนไลน์ https://t.co/4SX44TG2dS
1,"กลับสู่ภาวะปกติ ^^

ใช้เวลาหนึ่งคาบ ทบทวนสิ่งที่ #เรียนออนไลน์ ไปทั้งหมด จนเข้าใจ 
#เกรดเทอมนี้ดีแน่นอน
#คณิตครูเอก… https://t.co/qZKqYmzj45"
0,"ช่วยรีด้วยนะคะ #dek64 #TCAS64
#swu #TCAS #การศึกษาไทย #สอบเทียบ #สอบTOEIC #GATPAT #gatpat64 https://t.co/dvzPDTm9kX"
0,"Super​ Poll​ เผยผลการสำรวจเรียนแบบไหน​เสี่ยงติดโควิดมากที่สุด
พบว่าส่วนมาก 47.8% ระบุเรียนที่สถาบันศึกษาแบบเดิมเสี่… https://t.co/cJicGNwUOf"
0,รองโฆษก รัฐบาลเผย ครม.เห็นชอบโครงการ #พลังสิบ ปี 2564-2573 สนับสนุนนักเรียนด้านวิทยาศาตร์-คณิตศาสตร์ เพิ่มความสามาร… https://t.co/jVAyaPF2qY
0,ศธ.เตรียมดันมาตรการ ​โรงเรียนเอกชนสรุปค่าใช้จ่ายที่ไม่เกิดขึ้นเพราะการเรียนออนไลน์ทั้งเดือน ม.ค.นี้ คืนผู้ปกครอง ภา… https://t.co/BkQjVLMxvn
1,"รองโฆษก รัฐบาลเผย ครม.เห็นชอบโครงการ #พลังสิบ ปี 2564-2573 สนับสนุนนักเรียนด้านวิทยาศาตร์-คณิตศาสตร์ เพิ่มความสามารถในการแข่งขันของประเทศ
พัฒนานักเรียนระดับชั้นป.4 ถึง ม.6 ที่มีความสนใจพิเศษด้านวิทยาศาสตร์ คณิตศาสตร์  เทคโนโลยีและนวัตกรรมในทุกพื้นที่
#การศึกษา #การศึกษาไทย https://t.co/nKfopaRxZB"
0,"“การเปิดเรียนของสถานศึกษา อาจจะเปิดไม่พร้อมกัน
ขึ้นอยู่กับพื้นที่ ถ้าเป็นพื้นที่สีเขียว อาจเปิดเรียนได้ก่อน”

พญ.อ… https://t.co/WcAErGYZBb"
-1,บางครั้งก็อยากถามครูที่เฆี่ยน ตี นักเรียนที่ทำผิดว่า เติบโตมาจากครอบครัวที่มีอาชีพ เลี้ยงวัว ควย หรือไงครับ? ถึงได้… https://t.co/WHotxjCof9
1,มีใครสนใจมั้ย ถ้ามีเปิดติวONET วิทย์ม.6 ออนไลน์ ชม.ละ100 บาท (แค่1ชม.น้าา นี่ลดให้เบย) แต่รับแค่อาทิตย์ละ1คนนะคับบบ… https://t.co/wGtmu1ehju
0,น.ส. ภัคจิรา เรืองฉาย นิสิตปี 4 คณะรัฐศาสตร์ ภาคความสัมพันธ์ระหว่างประเทศ จุฬาฯ โพสต์ถึงการปรับจาก #เรียนออนไลน์ มา… https://t.co/pmdclDp6yl
0,สวนกุหลาบยังไม่เปิดเรียน 1 ก.พ. !! ผอ.สวนกุหลาบวิทยาลัย สั่งปิดเรียนต่อถึง 5 ก.พ. โดยให้เรียนออนไลน์ เปิดเรียนอีกค… https://t.co/1jTygUXvEt
0,กระทรวงศึกษาฯ ออกประกาศให้โรงเรียนรัฐ และเอกชน เปิดการเรียนการสอนปกติในวันที่ 1 ก.พ. แต่ให้ปิดการเรียนการสอนในจ.สมุ… https://t.co/hYrOs32Aax
0,"รัฐมนตรีฯ สั่งการเอง เร่งบริษัทติดตั้งเน็ต หลังพบนร.เยอรมัน นั่งเรียนกลางหิมะตก
#เรียนออนไลน์ 
https://t.co/7hIHi8Y2Qv"
-1,ไม่รู้ว่าทำไม การเรียนวิชา พละในไทยมันถึงกลายเป็นวิชาที่เด็กไม่อยากเรียน หนึ่งแหละ กลัวโดนบลูลี่ ชอบโดนแกล้ง ดึงกาง… https://t.co/DY3sEaxmUH
0,"เปิดเทอมรร.ต้องปรับตัวยังไง

https://t.co/jSjG16AbP3

#การศึกษา"
1,"ไม่มีอุปสรรคใดจะมาขัดขวางการเรียนออนไลน์ แม้กระทั่งความหิว😆

#เรียนออนไลน์สไตล์เพชรพลอย 
#เรียนไม่เครียด… https://t.co/9GTvzakulf"
0,"อยากฟังความเห็นเกี่ยวกับ #การศึกษาไทย จากมุมมองของ 5 กลุ่มคนเหล่านี้เพิ่มเป็นพิเศษค่ะ 
- ผู้ชาย
- สถานภาพสมรส (มีบุ… https://t.co/5eRdocmszt"
0,"มุแง้ รับบทนางขายเป็นอาชีพหลัก ครูเป็นงานอดิเรกนะค้าา ㅋㅋㅋ #รีวิวมีเฮแซม 
เดือนนี้เต็ม เดือนหน้ารับอีก2คอร์สพอแย้วน้… https://t.co/x4S9BvN7ok"
0,ไร้อุปกรณ์-เวลาไม่พร้อม!ปัญหาการศึกษาไทย เมื่อเด็กต้อง'เรียนออนไลน์'ยุคโควิด https://t.co/e3pvWOgoQ1 #isranews… https://t.co/VbujkgQOa4
0,แนะรัฐทำนโยบาย'โรงเรียนชนะ'เยียวยาการศึกษาเด็กไทย หลังถดถอยจากพิษโควิด https://t.co/BOsisd30r4 #isranews… https://t.co/XoGDCadqax
0,"How are you?  
I’m fine, thank you. And you?
 
ตอบแบบนี้คือบ้งไปแล้วจ้า มาดูวิธีตอบแบบอื่น ๆ ที่เวิร์คกว่านี้กันดีก… https://t.co/dNTOwj8wAT"
0,"กินอยู่อย่างประหยัด เวอร์ชั่น น้องจินต์ในอังกฤษ มาแล้วค่ะ 
 
วันนี้เราพาไปส่องซุปเปอร์มาร์เก็ตของอังกฤษ ที่ไหนแพง… https://t.co/FGtvFUrxdq"
-1,ไอเหี้ยยย ไม่คิดว่าจะเจอกับตัว เรียนออนไลน์นัดชด แล้วรุ่นน้องต้องไปงานศพ ขอขาดที่ชด แม่งเสือกไม่ให้ โห เลว เกินไปปะ… https://t.co/JuIDdcoSn3
-1,ตอนนี้ม.กูบอกให่้จัดกานเรียนการสอนแบบผสมผสาน พ่อมึง เรียนหนังสือนะ ไม่ได้ทำอาหารที่มึงจะมาฟิวชั่นได้ แม่เย็ด 🤬  #เรียนออนไลน์
-1,"มึงช่วยเปิดโรงเรียนแล้วให้น้องเค้าและเด็กทั่วประเทศไปเรียนที่โรงเรียนได้แล้วสัส!
#เรียนออนไลน์ https://t.co/t8sKTPYYLg"
0,"facebook: เวย์หา-ค้นหาตัวตนผ่านเกมชีวิต
#เรื่องจริง ของ #การศึกษาไทย https://t.co/brM4dTasU8"
0,จะสอบแล้ว แต่อ่านไม่ทัน พี่มีคอร์ส #สรุปเคมี เร่ง รัดภายใน 3 ชม.💨 ด้วยนะคะ เข้ามาสอบถาม หรือมาปรึกษาแผนการเรียนการส… https://t.co/tRoacS4NRt
0,เด็กควรไปโรงเรียน #เรียนออนไลน์
-1,ถามว่าตารางเหี้ยๆแบบนี้ ทำกันได้ไงอะ จะมีวันไหนได้แดกข้าวเที่ยงที่เที่ยงบ้างมะ กลางวันกูนั่งเรียนยั่น2ทุ่ม กูเหนื่อ… https://t.co/0FLikLgR29
-1,อาจารย์บางคนคือไม่พัฒนาไม่ก้าวหน้ามัวแต่บังคับพวกกุเปิดกล้อง กุจ่ายเงินให้มึงสอนก็สอนไปค่ะ  #เรียนออนไลน์
0,"ฝากถึง @BadStudent_ ครับ อัดมาให้แล้ว

ถามเรื่องการศึกษา ไปพาดพิงการเคลื่อนไหวของมวลชนนอกสภา

ถ้ามวลชนนอกสภาไม่ออกม… https://t.co/eth8cjG4Sp"
1,มีเสื้อนักศึกษาที่ยังไม่ได้ใส่2ตัว ไซส์ S จะทิ้งก็เสียดาย ตอนนี้ส่วนใหญ่มหาลัยเรียนออนไลน์กันใช่มั้ยนะ แต่ว่ามีน้อง… https://t.co/XyHH62SOpG
-1,เรียนอยู่บ้านมันไม่ได้สบายทุกคนนะ ทั้งเรียนไม่รู้เรื่องทั้งคนรอบข้างมันไม่ได้เอื้อแก่การเรียนเลยสุขภาพจิตก็แย่ #เรียนออนไลน์
1,เป็น workshop กลุ่มเล็กๆ พูดคุยกันแบบสบายๆเป็นกันเอง เป็นโอกาสดีๆที่เราจะได้มาลองพูดคุยแลกเปลี่ยนกันเพื่อหาแนวทางกา… https://t.co/xQ6i4eguaH
0,"ถ้า #สนับสนุนเลื่อนเปิดเทอม โดยให้ #เรียนออนไลน์ ต่อ

ได้โปรด #สนับสนุนเลื่อนสอบ ให้ #dek64 #เด็กซิ่ว ด้วยนะครับ… https://t.co/z7fMNGbbZw"
0,ช่วยแนะนำมหาลัยของเกาหลี แบบออนไลน์ที่ได้ใบปริญญา..มีคณะที่เรียนภาษาเกาหลีมั้ยคะ อยากรู้เรื่องการสมัคร ค่าเทอม ก่อน… https://t.co/Hgl0ufsbw6
1,เปิดใจ “น้องวิว” เด็กหญิงใจสู้กางร่มเรียนออนไลน์กลางแดดที่บ้านห้วยแร่ ขอบคุณทุกความช่วยเหลือ และยืนยันจะตั้งใจเรียน… https://t.co/RJCkP9OrUs
-1,เกลียด #การศึกษาไทย ตรงทีงานที่ครูสั่ง นักเรียนได้คะแนนส่วนครูได้ผลงาน สมเหตุสมผลดีค่ะ🙄🙄🙄
0,ระหว่างสอนออนไลน์กำลังจะหมดชั่วโมง  นร:ครูครับผมขออนุญาตไปก่อนนะครับ  ครู:ไปไหนครับ นร:มีอุบัติเหตุครับผมทำมูลนิธิ… https://t.co/ypanxZ5NBN
0,หมออ๋อง ส.ส. ก้าวไกล อภิปรายรมว.ศึกษาธิการ เรื่องการดำเนินคดีกับนักเรียน และปล่อยให้นักเรียนที่เคลื่อนไหวทางการเมือ… https://t.co/nboBoj28l4
0,"1 ก.พ. นี้ แทบทุกพื้นที่ในประเทศไทย
จะกลับมาเรียนในชั้นเรียนอีกครั้ง
หลักจากแยกย้ายกันไปเรียนออนไลน์
ตามมาตรการรักษ… https://t.co/pI3RjRDxz7"
-1,#โรงเรียนคอนแวนต์ แห่งหนึ่งในกทม. ให้งานวิชาพละและสุขศึกษาปสดมาก คิดว่าเด็ก #เรียนออนไลน์ มันว่างหรอ ให้ปริ้นรูปแล้… https://t.co/DelFUPCHou
-1,ออนไลน์ครึ่งนึง เรียนในห้องครึ่งนึงอีกแล้ว แล้วอาจารย์ในมอกูก็เอาใจยากชิบหาย บางวันเช้าเรียนในห้อง บ่ายมาเรียนออนไล… https://t.co/9ToBqxT3Ed
-1,"30ข้อ 30นาที จะร้องงง
แล้วประเด็นคือพอหมดเวลาระบบจะตัดทันที
ส่งไม่ทันคำแนนก็เป็น 0 ไปจ้าาา
#เรียนออนไลน์ #สอบออนไลน์"
-1,อาจารย์ที่สอนออนไลน์แล้วไม่recordให้เด็กนี่คิดไรอยู่วะ ไม่คิดว่าระหว่างสอนเนตเด็กกระตุก หรือเรียนตามไม่ทันงี้บ้างหร… https://t.co/vQC2ESjbc9
-1,การ #เรียนออนไลน์ เป็นระยะเวลานานๆ ทำให้เสียสุขภาพจิตจริงง ไหนจะเรื่องสภาพแวดล้อมไม่เหมาะ ไหนจะเสียงดังรบกวน ไหนจะแ… https://t.co/Uf78fGD4Wn
-1,กูเรียนป.ตรีไง ป.ตรีที่แปลว่าไม่ได้ช่ำชองเรื่องวิจัยขนาดนั้น กูผิดตรงไหนยังไงก็แค่ให้คำแนะนำ ไม่ใช่ด่าๆๆๆแล้วให้กูไ… https://t.co/WhocsEvtoi
-1,ตัวเองเรียนออนไลน์ไม่เท่าไหร่ แต่น้องเรียนออนไลน์แล้วทำไมกูถึงลำบากด้วย #เรียนออนไลน์
0,พอถามมอถึงมาตรการป้องกันนอกจากใส่แมส ล้างมือ ก็ตอบแค่ให้นักศึกษาดูแลตัวเอง👏👏👏   #เรียนออนไลน์  #สนับสนุนเลื่อนเปิดเทอม
0,ไม่ได้อยากเรียนออนไลน์แต่ก็ไม่ได้อยากไปเรียนที่มอแบบที่ไม่ได้มีมาตรดูแลอะไรเพิ่ม นอกจากให้นศใส่แมส ล้างมือ ซึ่งต้อง… https://t.co/3rBRVeHbA5
0,ถ้าให้ #เรียนออนไลน์  ≠ อัดสั่งแต่งาน #สนับสนุนเลื่อนเปิดเทอม
1,ปวดขี้ตอนเรียนมันเกิดขึ้นได้ แต่อิดอกปวดทั้งกลุ่มนี่เป็นอุปทานหมู่มั้ย555555 #เรียนออนไลน์ ตอนเช้าเป็นเหตุ https://t.co/nkyN6kNuWf
-1,เมื่อไหร่จะเลิกเรียนออนไลน์เข้าใจไหมว่าเด็กบางคนมันไม่พร้อม มึงเปิเร้านอาหารทุกอย่างได้ เเต่เปิดเรียนไม่ได้ ไม่งงหร… https://t.co/7PA0E8rRXY
-1,ใช้วายฟายบ้านไม่ได้ กลัวหลุดแล้วหาว่ากุทุจริต ไม่เสถียร คนใช้เยอะ กูจะซื้อเน็ตเพิ่ม ใครจ่าย อ๋อกูเอง ค่าเสื่อมไอโฟน… https://t.co/e5LBaBUJUR
-1,ปวดหัวปวดตา กูใส่แว่นกันแดดเรียนออนไลน์ อิควาย #เรียนออนไลน์ https://t.co/LTFeE2chUq
-1,อาจารย์ขี้เกียจสอน สั่งแต่งาน ไม่คิดมั่งเหรอว่ากูก็ขี้เกียจเหมือนกันอ่ะ #เรียนออนไลน์
-1,"ฉันเรียนไม่รู้เรื่อง เหนื่อยกว่านั่งเรียนในห้องอีก ล่าสุดเปิดเทอมมีนาตายก่อนน 
#เรียนออนไลน์"
0,ศูนย์ควบคุมและป้องกันโรคแห่งสหรัฐอเมริการะบุในงานวิจัยชิ้นใหม่ว่า อัตราการแพร่ระบาดของโควิด-19 ในโรงเรียน น้อยกว่า… https://t.co/Erh465NoOQ
1,"หน่วยงานรุดช่วย “น้องวิว” กางเต็นท์ให้เรียนออนไลน์ ติดไวร์เลสเร้าเตอร์-วางเสาเพิ่ม

https://t.co/dSLDQgDXkB… https://t.co/k3OC0FBRoI"
0,โรงเรียนหลานสาว มีประกาศมาเรื่องเปิดเทอม แต่ที่หยุดไปถามน้องสะไภ้ เรียนออนไลน์ไม่เท่าไรเลย และไม่การพูดถึงเรื่องค่า… https://t.co/khmVY3IsAR
0,"พรุ่งนี้มีให้แล้วนะ 1 สเก็ต 🧑🏻‍💻💆🏻‍♂️ 
#การศึกษาฆ่าฉัน #ffsugarsummer18 https://t.co/r7yEYRgPf3"
0,"#ImagineDragons #ImagineDragonsTH #แนะนำเพลง #รีวิวเพลง #เพลงสากล #เพลงดีบอกต่อ #การศึกษา
กว่าจะเป็น Imagine Dragon… https://t.co/CLScNDNAPG"
0,รณรงค์ให้มหาลัยสอน Excel แบบจริงจัง สอนเหอะ สูตรนู่นนี่อ่ะ สำคัญมาก Excel คือของจริงที่ต้องใช้ตอนทำงาน! เลิกสอนอะไร… https://t.co/Szj7BPRGJp
0,ฉันที่ต้องเรียนออนไลน์และมาหาหมอพร้อมกัน #เรียนออนไลน์  #เรียลมหาลัย https://t.co/1oJiDnOzmm
0,เป็นนิสิตฝึกสอน รร. หนึ่ง ถ้ามีคำสั่งว่าต้องไปสอนที่ รร. โอเคก็ต้องไป แต่ไม่โอเคที่อ.พี่เลี้ยงพูดว่า เพื่อนคนอื่นก็… https://t.co/mD0YT0Ysft
-1,คือไม่ได้จะบอกว่าหนูจะไม่ไปค่ะสักหน่อย ทำไมต้องเอามาบอกว่า ฉันทำนะ เธอก็ต้องทำ ให้กูบ่นก่อนได้ไหมค่อยมาบอกว่า ครูก็… https://t.co/imtDAan9Kn
0,"อย่าเพิ่งรีบร้อน ฝ่ายค้านเพิ่งเริ่ม!
.
(4) เธรด เปิด 10 เหตุผลสุดแสบ ฝ่ายค้านเสนอญัตติ #อภิปรายไม่ไว้วางใจ 10 รมต.… https://t.co/nAslG7KMAM"
0,เรียนออนไลน์​แต่ดูงานที่สั่งดิ #การศึกษาฆ่าฉัน https://t.co/ZvVvooDy2N
0,น้องๆๆในแท็กนี้มีใครสนใจคุยหัวข้อเกี่ยวกับปัญหาเรื่องการศึกษาไหม​​  #การศึกษาฆ่าฉัน
0,"เผยหลักเกณฑ์คืนเงินค่าธรรมเนียมโรงเรียนเอกชน หลังรัฐฯ สั่งเรียนออนไลน์หนีโควิด https://t.co/F1JiIqGScO

#AmarinTV34… https://t.co/Otm9r2dn6W"
-1,"“อิสระ” จี้ ศธ. คืนเงินค่าเทอมช่วงโควิด ทำผู้ปกครองจ่ายซ้ำซ้อน พิมพ์แบงค์เองได้ยังไม่ไหว
#อิสระ #ปชป… https://t.co/tuOKMxyyeW"
1,น้องวิวกางร่มเรียนออนไลน์ ยิ้มออกแล้ว เจ้าหน้าที่หลายฝ่ายเข้าช่วยเหลือไม่ต้องนั่งกลางแดด และติดตั้งเสาสัญญาณเน็ตให้… https://t.co/ByaZRmhur5
0,เคาะเปิดเทอมทั่วประเทศ 1 ก.พ. เว้น จ.สมุทรสาคร https://t.co/EXIVjSCCr9 #ข่าวช่อง8 #เปิดเทอม #เรียนออนไลน์
-1,คืองงมาก ยอดคนติดเชื้อ 100+ ทุกวัน ห้ามจัดงาน ห้ามรวมตัว แต่จะให้เด็กไปโรงเรียน ลำพังเดินทางไปเรียนก็เจอคนเป็นร้อยแ… https://t.co/2sGfaaCWdX
-1,#การศึกษาไทย อีดอกกกกกกกกกกก
-1,"การศึกษาไทยมันถอยหลังเข้าคลอง  
#การศึกษาฆ่าฉัน"
1,"คอนเทนต์นี้ดีอ่ะ เรื่องเซ็กส์ควรเป็นเรื่องที่
พูดคุยกันได้แบบไม่ต้องอายนะแล้วการ
ศึกษาไทยก็ควรสอนเรื่องนี้อย่างถ่อง… https://t.co/7vaTDFelC1"
1,"คอนเทนต์นี้ดีอ่ะ เรื่องเซ็กส์ควรเป็นเรื่องที่
พูดคุยกันได้แบบไม่ต้องอายนะแล้วการ
ศึกษาไทยก็ควรสอนเรื่องนี้อย่างถ่องแท้
ด้วยนะ ดีกว่าสอนให้รักนวลสงวนตัวอ่ะ
#ช็อคเกอร์บอย #การศึกษาไทย https://t.co/YPBVMZNOhs"
0,"เคยป่ะเรียนออนไลน์อยู่
นึกว่าปิดเสียง แล้วก็พูดบ่นด่าอาจารย์
จนอาจารย์เงยหน้ามอง ทุกคนเสียงหมด
แล้วก็มีเสียงนึงลอย… https://t.co/VTY1rxUWO0"
-1,"#เรียนออนไลน์ ขอบคุณสำหรับการแก้ปัญหาอย่างทันท่วงทีนะคะอิสัส

before                                      after https://t.co/Nmt2wc4w7k"
-1,มันแย่ตรงที่ ถ้าสอบปกติเราสามารถข้ามข้อที่ทำไม่ได้ไปทำข้อที่ได้ก่อน แล้วย้อนกลับมาคิดอีกที แต่สอบออนไลน์ทำไมได้ บัดซบมาก #เรียนออนไลน์
1,"มาพัฒนาทักษะ Critical Thinking ให้เพิ่มมากขึ้นด้วย 4 คำถามชวนคิดกัน

📌  อ่านต่อ &gt;&gt; https://t.co/nArPPH3dZa… https://t.co/oi5YDPxcP7"
1,"#เรียนออนไลน์
:นศ.ยังอยู่กับอาจารย์ไหมคะ
:อยู่ค่ะอาจารย์
:ยังไหวไหมคะ
:ไหวค่ะ
5555555555555 https://t.co/aEwPA6Hecf"
0,ถ้าเราจะเปิดสอนวิชาสังคมออนไลน์ มีใครสนใจบ้างมั้ย เราเรียนครูสังคม ตอนนี้กำลังจะจบแล้ว #เรียนออนไลน์… https://t.co/om3i3lEeH4
0,"เรียนไปสอบเข้ามหาลัยไม่ได้ถ้าอยู่ในโรงเรียนที่มีคุณภาพการศึกษาตํ่า
เรียนไปปรับใช้ไม่ได้ เพราะถูกสอนมาเพียงแค่ทำตาม… https://t.co/t1n1GfoObd"
0,ปีนี้เหมือนกลับไปเป็นนักเรียนอีกครั้ง บริษัทส่งคอร์ส Digital marketing มารัวๆ เอาเวลาตอนไหนไปวิ่งเข้าป่า. ถามมมมม.… https://t.co/CdDqhiwgOr
-1,การเรียนออนไลน์ = เรียนไม่รู้เรื่อง =สอบตก #เรียนออนไลน์
-1,ไม่ได้มีกูคนเดียวใช่มั้ยที่ขี้เกียจนั่งอัพรูปลงClassroomที่ละรูปๆ #เรียนออนไลน์
-1,นี่สงสารปี1(63) มากที่สุดละ ต้องปรับตัวเรื่องการเข้าเรียนมหาลัยปีแรก แล้วก็ต้องปรับไปเรียนออนไลน์โดยที่มีเพื่อนพี่… https://t.co/4CbLbBqS5L
0,ขาวๆ อวบๆ สนับสนุนโดยซีอิ๊วขาวตราเด็กสมบูรณ์ 🙈 #หญิงแท้ #หญิงเดี่ยว #สาวหมวย #สาวสวย #สาวอ้วน #สาวอวบ #เรียลหญิง… https://t.co/kc5dlCQpZD
-1,เรียนออนไลน์แล้วแบบข้างห้องเสียงดังมากกกกก  อยากไปเดินบอกว่า มารยาทอ่ะมีมั๊ย ตอนกลางคืนก็พาเพื่อนมาparty นี้หอกูตั้… https://t.co/b3FNcsRDbn
-1,#เรียนออนไลน์ มันเป็นปัญหาถึงขนาดนี้แล้วนะ มันไม่สามารถนิ่งนอนใจได้แล้วนะ นอนหลัง 4:00 น ทุกวันเป็นเราเราก็เครียด… https://t.co/zWiRQiUgA2
0,"สวัสดีค่ะทุกๆคน เพื่อนๆและเราร่วมกันทำช่องยูทูป bilingual สำหรับวัยรุ่นนะคะ ฝากไปติดตามกันด้วยนะคะ ตอนนี้มีอยู่2คลิปนะคะ
#การศึกษาไทย ​#นักเรียนแลกเปลี่ยน #สอบsat
https://t.co/0VEYSAiEVP"
0,สวัสดีค่ะทุกๆคน เพื่อนๆและเราร่วมกันทำช่องยูทูป bilingual สำหรับวัยรุ่นนะคะ ฝากไปติดตามกันด้วยนะคะ ตอนนี้มีอยู่2คลิ… https://t.co/55u5n3U6CU
